COU,Country,MEAS,Measure,Large subnational region,Small subnational region,VAR,Variable,Year,Unit Code,Unit,Value
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.087771894
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.021068742
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.037707352
DJI,Djibouti,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,1.1205
DJI,Djibouti,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,1.6713
DJI,Djibouti,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,1.8036
DJI,Djibouti,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,2.2779
DJI,Djibouti,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,0.1323
DJI,Djibouti,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,0.6066
DJI,Djibouti,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,0.5508
DJI,Djibouti,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.005173797
DJI,Djibouti,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.007717061
DJI,Djibouti,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.008327943
DJI,Djibouti,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.010517976
DJI,Djibouti,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.000610882
DJI,Djibouti,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.002800915
DJI,Djibouti,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.002543264
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,2522.7225
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,2940.7536
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,3598.0551
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,4107.762
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,657.3015
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,1167.0084
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,509.7069
EGY,Egypt,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,418.0311
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.256944463
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.299521788
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.366469295
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.418383989
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.066947507
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.1188622
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.051914694
EGY,Egypt,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.042577325
GNQ,Equatorial Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,20.2383
GNQ,Equatorial Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,26.2638
GNQ,Equatorial Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,31.3974
GNQ,Equatorial Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,35.3835
GNQ,Equatorial Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,3.9861
GNQ,Equatorial Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.074810512
GNQ,Equatorial Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.097083664
GNQ,Equatorial Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.116059924
GNQ,Equatorial Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.130794471
ERI,Eritrea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,1.9035
ERI,Eritrea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,3.7386
ERI,Eritrea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,5.7438
ERI,Eritrea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,8.613
ERI,Eritrea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,2.0052
ERI,Eritrea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,4.8744
ERI,Eritrea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,1.8351
ERI,Eritrea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.001567377
ERI,Eritrea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.003078431
ERI,Eritrea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.00472955
ERI,Eritrea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.007092101
ERI,Eritrea,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.002362552
ERI,Eritrea,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.001511055
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,70.8138
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,167.8653
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,320.4081
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,493.7274
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,152.5428
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,325.8621
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,173.3193
ETH,Ethiopia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,97.0515
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.006266216
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.014854169
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.028352471
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.043689257
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.013498302
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.028835088
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.015336786
ETH,Ethiopia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.008587953
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,50.9247
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,69.8418
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,81.3204
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,86.2884
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,11.4786
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,16.4466
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,4.968
GAB,Gabon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,18.9171
GAB,Gabon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.019331538
GAB,Gabon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.026512664
GAB,Gabon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.030870058
GAB,Gabon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.032755962
GAB,Gabon,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.004357394
GAB,Gabon,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.006243298
GAB,Gabon,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.007181125
GMB,Gambia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,80.2152
GMB,Gambia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,100.4733
GMB,Gambia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,123.2055
GMB,Gambia,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,128.2698
GMB,Gambia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,22.7322
GMB,Gambia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,27.7965
GMB,Gambia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.759929072
GMB,Gambia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.951846802
GMB,Gambia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,1.167203239
GMB,Gambia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,1.21518054
GMB,Gambia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.215356437
GMB,Gambia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.263333738
GMB,Gambia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.047977301
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,987.2055
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,1292.7393
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,1731.8592
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,2064.9177
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,439.1199
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,772.1784
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,333.0585
GHA,Ghana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,305.5338
GHA,Ghana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.420539812
GHA,Ghana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.550694199
GHA,Ghana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.737754947
GHA,Ghana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.879634585
GHA,Ghana,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.141879638
GHA,Ghana,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.130154387
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,221.6088
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,291.8655
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,408.7512
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,499.248
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,116.8857
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,207.3825
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,90.4968
GIN,Guinea,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,70.2567
GIN,Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.09066046
GIN,Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.119402572
GIN,Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.16722067
GIN,Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.204243033
GIN,Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.047818098
GIN,Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.084840462
GIN,Guinea,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.028742111
GNB,Guinea-Bissau,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,37.5471
GNB,Guinea-Bissau,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,44.5329
GNB,Guinea-Bissau,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,59.0598
GNB,Guinea-Bissau,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,67.554
GNB,Guinea-Bissau,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,14.5269
GNB,Guinea-Bissau,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,23.0211
GNB,Guinea-Bissau,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,8.4942
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.121500664
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.144106386
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.191114757
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.218601592
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.047008371
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.074495205
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.027486835
GNB,Guinea-Bissau,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.022605723
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,73.683
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,130.0095
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,222.7545
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,288.1962
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,92.745
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,158.1867
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,65.4417
KEN,Kenya,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,56.3265
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.012818587
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.022617674
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.038752466
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.050137319
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.016134792
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.027519645
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.011384853
KEN,Kenya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.009799087
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,9.333
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,27.7146
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,45.0504
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,53.0433
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,17.3358
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,25.3287
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,7.9929
LSO,Lesotho,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,18.3816
LSO,Lesotho,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.030542049
LSO,Lesotho,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.090695455
LSO,Lesotho,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.147426501
LSO,Lesotho,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.173583101
LSO,Lesotho,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.056731046
LSO,Lesotho,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.082887646
LBR,Liberia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,24.03
LBR,Liberia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,65.4444
LBR,Liberia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,41.4144
LBR,Liberia,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,17.5446
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.157107054
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.175275979
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.200161088
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.243049221
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.024885109
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.067773242
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.042888133
LBR,Liberia,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.018168925
LBY,Libya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,773.5545
LBY,Libya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,1050.8184
LBY,Libya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,1257.5214
LBY,Libya,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,1412.1585
LBY,Libya,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,206.703
LBY,Libya,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,361.3401
LBY,Libya,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,277.2639
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.047552198
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.064596256
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.077302771
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.086808674
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.012706515
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.022212418
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.009505903
LBY,Libya,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.017044058
MDG,Madagascar,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,78.4548
