COU,Country,MEAS,Measure,Large subnational region,VAR,Variable,Year,Unit Code,Unit,Value
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,P'yongan-bukto,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,11.5191
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,P'yongan-bukto,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,4.9095
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.301560267
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.341955406
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.397353396
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.436734029
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.05539799
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.094778623
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.039380633
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,P'yongan-bukto,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.040395139
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,46.7991
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,53.64
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,64.3437
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,71.5671
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,10.7037
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,17.9271
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,7.2234
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Hwanghae-namdo,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,6.8409
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.529109574
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.606452636
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.727468428
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.809136026
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.121015792
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.20268339
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.081667598
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Hwanghae-namdo,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.077343062
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,8.6103
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,9.4158
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,10.5039
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,12.0222
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kaesong-si,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,1.0881
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kaesong-si,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,2.6064
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kaesong-si,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,1.5183
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.686014469
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.750191635
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.836884589
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.95785317
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.086692954
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.207661535
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.12096858
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kaesong-si,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.064177166
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,8.5419
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,9.0738
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,10.5795
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,12.2373
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kangwon-do,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,1.5057
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kangwon-do,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,3.1635
PRK,Democratic People's Republic of Korea,SQKM,Square kilometers,Kangwon-do,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,1.6578
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.077133767
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.08193685
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.095533393
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kangwon-do,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.110503407
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kangwon-do,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.013596543
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kangwon-do,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.028566557
PRK,Democratic People's Republic of Korea,PCNT,Percent of total land area,Kangwon-do,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.014970014
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Orientale,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,82.6146
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Orientale,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,101.0196
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Orientale,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,134.1315
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Orientale,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,164.6235
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Orientale,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,33.1119
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Orientale,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,63.6039
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Orientale,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,30.492
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Orientale,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.016373941
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Orientale,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.020021751
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Orientale,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.026584421
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Orientale,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.032627834
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Orientale,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.006562669
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Orientale,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.012606083
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Orientale,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.006043414
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,13.0275
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,18.4446
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,26.0856
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,32.4405
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Sud-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,7.641
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Sud-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,13.9959
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Sud-Kivu,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,6.3549
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.021880324
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.030978608
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.043812042
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.054485407
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.012833433
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.023506799
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.010673366
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Sud-Kivu,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.009098285
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,43.1901
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,54.9369
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,85.7313
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,108.7461
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Nord-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,30.7944
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Nord-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,53.8092
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Nord-Kivu,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,11.7468
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.07517114
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.095616111
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.149212887
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Nord-Kivu,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.189269492
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Nord-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.053596777
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Nord-Kivu,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.093653381
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Nord-Kivu,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.020444971
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,37.8342
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,44.0469
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,62.7957
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,82.6011
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,18.7488
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,38.5542
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,19.8054
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bas-Congo,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,6.2127
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.070590363
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.082181906
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.117163077
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bas-Congo,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.154115632
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bas-Congo,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.011591543
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kinshasa,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,114.2118
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kinshasa,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,131.1516
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kinshasa,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,155.8287
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kinshasa,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,168.2532
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kinshasa,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,24.6771
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kinshasa,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,37.1016
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kinshasa,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,12.4245
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,1.069944698
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,1.228638014
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,1.459814935
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,1.576208582
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.231176921
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.347570568
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.116393647
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kinshasa,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.158693315
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Maniema,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,26.8794
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Maniema,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,32.1129
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Maniema,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,50.9544
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Maniema,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,60.6159
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Maniema,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,18.8415
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Maniema,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,28.503
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Maniema,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,9.6615
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Maniema,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.020992685
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Maniema,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.025080024
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Maniema,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.039795147
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Maniema,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.047340733
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Maniema,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.014715123
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Maniema,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.022260709
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bandundu,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,75.8187
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bandundu,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,126.9855
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bandundu,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,241.2783
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bandundu,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,305.3592
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bandundu,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,114.2928
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bandundu,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,178.3737
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Bandundu,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,51.1668
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bandundu,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.025576508
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bandundu,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.042837
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bandundu,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.081392274
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bandundu,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.103009179
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bandundu,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.038555274
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Bandundu,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.060172179
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,71.0046
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,113.0562
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,171.6687
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,223.4511
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kasai Occidental,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,58.6125
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kasai Occidental,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,110.3949
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Kasai Occidental,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,42.0516
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.046037714
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.073302983
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.111305951
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kasai Occidental,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.144880442
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kasai Occidental,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.038002968
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kasai Occidental,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.071577459
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Kasai Occidental,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.033574491
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Katanga,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,265.7214
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Katanga,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,338.5458
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Katanga,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,437.0607
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Katanga,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,555.543
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Katanga,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,98.5149
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Katanga,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,216.9972
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Katanga,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,72.8244
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Katanga,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.056063285
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Katanga,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.071428156
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Katanga,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.092213342
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Katanga,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.117211355
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Katanga,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.020785187
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Katanga,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.045783199
