Country,Measure,Large subnational region,Small subnational region,Variable,Year,Value
Libya,Square kilometers,Total,Total,Area built-up before,1990,1050.8184
Libya,Square kilometers,Total,Total,Area built-up before,2000,1257.5214
Libya,Square kilometers,Total,Total,Area built-up before,2014,1412.1585
Libya,Square kilometers,Total,Total,Built-up since 1990,2000,206.703
Libya,Square kilometers,Total,Total,Built-up since 1990,2014,361.3401
Libya,Square kilometers,Total,Total,Built-up since 1975,1990,277.2639
Libya,Percent of total land area,Total,Total,Area built-up before,1975,0.047552198
Libya,Percent of total land area,Total,Total,Area built-up before,1990,0.064596256
Libya,Percent of total land area,Total,Total,Area built-up before,2000,0.077302771
Libya,Percent of total land area,Total,Total,Area built-up before,2014,0.086808674
Libya,Percent of total land area,Total,Total,Built-up since 1990,2000,0.012706515
Libya,Percent of total land area,Total,Total,Built-up since 1990,2014,0.022212418
Libya,Percent of total land area,Total,Total,Built-up since 2000,2014,0.009505903
Libya,Percent of total land area,Total,Total,Built-up since 1975,1990,0.017044058
Madagascar,Square kilometers,Total,Total,Area built-up before,1975,78.4548
Madagascar,Square kilometers,Total,Total,Area built-up before,1990,112.1688
Madagascar,Square kilometers,Total,Total,Area built-up before,2000,143.2278
Madagascar,Square kilometers,Total,Total,Area built-up before,2014,165.9384
Madagascar,Square kilometers,Total,Total,Built-up since 1990,2000,31.059
Madagascar,Square kilometers,Total,Total,Built-up since 1990,2014,53.7696
Madagascar,Square kilometers,Total,Total,Built-up since 1975,1990,33.714
Madagascar,Percent of total land area,Total,Total,Area built-up before,1975,0.013292285
Madagascar,Percent of total land area,Total,Total,Area built-up before,1990,0.019004314
Madagascar,Percent of total land area,Total,Total,Area built-up before,2000,0.024266517
Madagascar,Percent of total land area,Total,Total,Area built-up before,2014,0.028114283
Madagascar,Percent of total land area,Total,Total,Built-up since 1990,2000,0.005262203
Madagascar,Percent of total land area,Total,Total,Built-up since 1990,2014,0.00910997
Madagascar,Percent of total land area,Total,Total,Built-up since 1975,1990,0.005712029
Malawi,Square kilometers,Total,Total,Area built-up before,1975,59.3217
Malawi,Square kilometers,Total,Total,Area built-up before,1990,77.6835
Malawi,Square kilometers,Total,Total,Area built-up before,2000,130.4208
Malawi,Square kilometers,Total,Total,Area built-up before,2014,157.1931
Malawi,Square kilometers,Total,Total,Built-up since 1990,2000,52.7373
Malawi,Square kilometers,Total,Total,Built-up since 1990,2014,79.5096
Malawi,Square kilometers,Total,Total,Built-up since 2000,2014,26.7723
Malawi,Square kilometers,Total,Total,Built-up since 1975,1990,18.3618
Malawi,Percent of total land area,Total,Total,Area built-up before,1975,0.062122885
Malawi,Percent of total land area,Total,Total,Area built-up before,1990,0.081351734
Malawi,Percent of total land area,Total,Total,Area built-up before,2000,0.136579302
Malawi,Percent of total land area,Total,Total,Area built-up before,2014,0.164615797
Malawi,Percent of total land area,Total,Total,Built-up since 1990,2000,0.055227568
Malawi,Percent of total land area,Total,Total,Built-up since 1990,2014,0.083264063
Malawi,Percent of total land area,Total,Total,Built-up since 2000,2014,0.028036495
Malawi,Percent of total land area,Total,Total,Built-up since 1975,1990,0.019228849
Mali,Square kilometers,Total,Total,Area built-up before,1975,131.7897
Mali,Square kilometers,Total,Total,Area built-up before,1990,241.6023
Mali,Square kilometers,Total,Total,Area built-up before,2000,328.3812
Mali,Square kilometers,Total,Total,Area built-up before,2014,414.5508
Mali,Square kilometers,Total,Total,Built-up since 1990,2000,86.7789
Mali,Square kilometers,Total,Total,Built-up since 1990,2014,172.9485
Mali,Square kilometers,Total,Total,Built-up since 2000,2014,86.1696
Mali,Square kilometers,Total,Total,Built-up since 1975,1990,109.8126
Mali,Percent of total land area,Total,Total,Area built-up before,1975,0.010486619
Mali,Percent of total land area,Total,Total,Area built-up before,1990,0.019224502
Mali,Percent of total land area,Total,Total,Area built-up before,2000,0.026129573
Mali,Percent of total land area,Total,Total,Area built-up before,2014,0.032986162
Mali,Percent of total land area,Total,Total,Built-up since 1990,2000,0.006905071
Mali,Percent of total land area,Total,Total,Built-up since 1990,2014,0.01376166
Mali,Percent of total land area,Total,Total,Built-up since 1975,1990,0.008737882
Mauritania,Square kilometers,Total,Total,Area built-up before,1975,74.6955
Mauritania,Square kilometers,Total,Total,Area built-up before,1990,86.6871
Mauritania,Square kilometers,Total,Total,Area built-up before,2000,99.0522
Mauritania,Square kilometers,Total,Total,Area built-up before,2014,114.5394
Mauritania,Square kilometers,Total,Total,Built-up since 1990,2000,12.3651
Mauritania,Square kilometers,Total,Total,Built-up since 1990,2014,27.8523
Mauritania,Square kilometers,Total,Total,Built-up since 2000,2014,15.4872
Mauritania,Percent of total land area,Total,Total,Area built-up before,1975,0.00715669
Mauritania,Percent of total land area,Total,Total,Area built-up before,1990,0.008305624
Mauritania,Percent of total land area,Total,Total,Area built-up before,2000,0.009490343
Mauritania,Percent of total land area,Total,Total,Area built-up before,2014,0.010974195
Mauritania,Percent of total land area,Total,Total,Built-up since 1990,2000,0.001184719
Mauritania,Percent of total land area,Total,Total,Built-up since 1990,2014,0.002668571
Mauritania,Percent of total land area,Total,Total,Built-up since 2000,2014,0.001483852
Mauritania,Percent of total land area,Total,Total,Built-up since 1975,1990,0.001148934
Mauritius,Square kilometers,Total,Total,Area built-up before,1975,89.3808
Mauritius,Square kilometers,Total,Total,Area built-up before,1990,89.3808
Mauritius,Square kilometers,Total,Total,Area built-up before,2000,89.3808
Mauritius,Square kilometers,Total,Total,Area built-up before,2014,132.9372
Mauritius,Square kilometers,Total,Total,Built-up since 1990,2000,0.0
Mauritius,Square kilometers,Total,Total,Built-up since 1990,2014,43.5564
Mauritius,Square kilometers,Total,Total,Built-up since 1975,1990,0.0
Mauritius,Percent of total land area,Total,Total,Area built-up before,1975,4.513982793
Mauritius,Percent of total land area,Total,Total,Area built-up before,1990,4.513982793
Mauritius,Percent of total land area,Total,Total,Area built-up before,2000,4.513982793
Mauritius,Percent of total land area,Total,Total,Area built-up before,2014,6.713703987
Mauritius,Percent of total land area,Total,Total,Built-up since 1990,2000,0.0
Mauritius,Percent of total land area,Total,Total,Built-up since 1990,2014,2.199721194
Morocco,Square kilometers,Total,Total,Area built-up before,1975,473.9112
Morocco,Square kilometers,Total,Total,Area built-up before,1990,740.2581
Morocco,Square kilometers,Total,Total,Area built-up before,2000,1003.4208
Morocco,Square kilometers,Total,Total,Area built-up before,2014,1225.9998
Morocco,Square kilometers,Total,Total,Built-up since 1990,2000,263.1627
Morocco,Square kilometers,Total,Total,Built-up since 1990,2014,485.7417
Morocco,Square kilometers,Total,Total,Built-up since 2000,2014,222.579
Morocco,Percent of total land area,Total,Total,Area built-up before,1975,0.114187887
Morocco,Percent of total land area,Total,Total,Area built-up before,1990,0.178363601
Morocco,Percent of total land area,Total,Total,Area built-up before,2000,0.241772089
Morocco,Percent of total land area,Total,Total,Area built-up before,2014,0.295402021
Morocco,Percent of total land area,Total,Total,Built-up since 1990,2000,0.063408488
Morocco,Percent of total land area,Total,Total,Built-up since 1990,2014,0.11703842
Mozambique,Square kilometers,Total,Total,Area built-up before,1975,317.9655
Mozambique,Square kilometers,Total,Total,Area built-up before,1990,458.5086
Mozambique,Square kilometers,Total,Total,Area built-up before,2000,672.0669
Mozambique,Square kilometers,Total,Total,Area built-up before,2014,833.9625
Mozambique,Square kilometers,Total,Total,Built-up since 1990,2000,213.5583
Mozambique,Square kilometers,Total,Total,Built-up since 1990,2014,375.4539
Mozambique,Percent of total land area,Total,Total,Area built-up before,1975,0.040711527
Mozambique,Percent of total land area,Total,Total,Area built-up before,1990,0.058706323
Mozambique,Percent of total land area,Total,Total,Area built-up before,2000,0.086049807
Mozambique,Percent of total land area,Total,Total,Area built-up before,2014,0.106778524
Mozambique,Percent of total land area,Total,Total,Built-up since 1990,2000,0.027343484
Mozambique,Percent of total land area,Total,Total,Built-up since 1990,2014,0.048072202
Mozambique,Percent of total land area,Total,Total,Built-up since 2000,2014,0.020728718
Mozambique,Percent of total land area,Total,Total,Built-up since 1975,1990,0.017994796
Namibia,Square kilometers,Total,Total,Area built-up before,1975,35.8083
Namibia,Square kilometers,Total,Total,Area built-up before,1990,64.2096
Namibia,Square kilometers,Total,Total,Area built-up before,2000,82.89
Namibia,Square kilometers,Total,Total,Area built-up before,2014,96.0174
Namibia,Square kilometers,Total,Total,Built-up since 1990,2000,18.6804
Namibia,Square kilometers,Total,Total,Built-up since 1990,2014,31.8078
Namibia,Percent of total land area,Total,Total,Area built-up before,1975,0.004325811
Namibia,Percent of total land area,Total,Total,Area built-up before,1990,0.007756821
Namibia,Percent of total land area,Total,Total,Area built-up before,2000,0.010013501
Namibia,Percent of total land area,Total,Total,Area built-up before,2014,0.011599353
Namibia,Percent of total land area,Total,Total,Built-up since 1990,2000,0.00225668
Namibia,Percent of total land area,Total,Total,Built-up since 1990,2014,0.003842532
Namibia,Percent of total land area,Total,Total,Built-up since 1975,1990,0.00343101
Niger,Square kilometers,Total,Total,Area built-up before,1975,92.4084
Niger,Square kilometers,Total,Total,Area built-up before,1990,173.5767
Niger,Square kilometers,Total,Total,Area built-up before,2000,277.9245
Niger,Square kilometers,Total,Total,Area built-up before,2014,375.8427
Niger,Square kilometers,Total,Total,Built-up since 1990,2000,104.3478
Niger,Square kilometers,Total,Total,Built-up since 1990,2014,202.266
Niger,Square kilometers,Total,Total,Built-up since 2000,2014,97.9182
Niger,Square kilometers,Total,Total,Built-up since 1975,1990,81.1683
Niger,Percent of total land area,Total,Total,Area built-up before,1975,0.007772517
Niger,Percent of total land area,Total,Total,Area built-up before,1990,0.014599623
Niger,Percent of total land area,Total,Total,Area built-up before,2000,0.023376369
Niger,Percent of total land area,Total,Total,Area built-up before,2014,0.031612318
Niger,Percent of total land area,Total,Total,Built-up since 1990,2000,0.008776746
Niger,Percent of total land area,Total,Total,Built-up since 1990,2014,0.017012695
Niger,Percent of total land area,Total,Total,Built-up since 2000,2014,0.008235949
Niger,Percent of total land area,Total,Total,Built-up since 1975,1990,0.006827106
Nigeria,Square kilometers,Total,Total,Area built-up before,1975,2457.1035
Nigeria,Square kilometers,Total,Total,Area built-up before,1990,4406.2596
Nigeria,Square kilometers,Total,Total,Area built-up before,2000,5883.8733
Nigeria,Square kilometers,Total,Total,Area built-up before,2014,7364.0358
Nigeria,Square kilometers,Total,Total,Built-up since 1990,2000,1477.6137
Nigeria,Square kilometers,Total,Total,Built-up since 1990,2014,2957.7762
Nigeria,Square kilometers,Total,Total,Built-up since 1975,1990,1949.1561
Nigeria,Percent of total land area,Total,Total,Area built-up before,1975,0.269635261
Nigeria,Percent of total land area,Total,Total,Area built-up before,1990,0.483529878
Nigeria,Percent of total land area,Total,Total,Area built-up before,2000,0.645678829
Nigeria,Percent of total land area,Total,Total,Area built-up before,2014,0.808107478
Nigeria,Percent of total land area,Total,Total,Built-up since 1990,2000,0.162148951
Nigeria,Percent of total land area,Total,Total,Built-up since 1990,2014,0.3245776
Nigeria,Percent of total land area,Total,Total,Built-up since 2000,2014,0.162428649
Nigeria,Percent of total land area,Total,Total,Built-up since 1975,1990,0.213894617
Rwanda,Square kilometers,Total,Total,Area built-up before,1975,42.1542
Rwanda,Square kilometers,Total,Total,Area built-up before,1990,70.983
Rwanda,Square kilometers,Total,Total,Area built-up before,2000,104.2407
Rwanda,Square kilometers,Total,Total,Area built-up before,2014,161.9415
Rwanda,Square kilometers,Total,Total,Built-up since 1990,2000,33.2577
Rwanda,Square kilometers,Total,Total,Built-up since 1990,2014,90.9585
Rwanda,Square kilometers,Total,Total,Built-up since 2000,2014,57.7008
Rwanda,Square kilometers,Total,Total,Built-up since 1975,1990,28.8288
Rwanda,Percent of total land area,Total,Total,Area built-up before,1975,0.175224954
Rwanda,Percent of total land area,Total,Total,Area built-up before,1990,0.295059399
Rwanda,Percent of total land area,Total,Total,Area built-up before,2000,0.433303725
Rwanda,Percent of total land area,Total,Total,Area built-up before,2014,0.673152187
Rwanda,Percent of total land area,Total,Total,Built-up since 1990,2000,0.138244326
Rwanda,Percent of total land area,Total,Total,Built-up since 1990,2014,0.378092788
Rwanda,Percent of total land area,Total,Total,Built-up since 2000,2014,0.239848462
Sao Tome and Principe,Square kilometers,Total,Total,Area built-up before,1975,0.2682
Sao Tome and Principe,Square kilometers,Total,Total,Area built-up before,1990,0.2682
Sao Tome and Principe,Square kilometers,Total,Total,Area built-up before,2000,0.2682
Sao Tome and Principe,Square kilometers,Total,Total,Area built-up before,2014,0.3537
Sao Tome and Principe,Square kilometers,Total,Total,Built-up since 1990,2000,0.0
Sao Tome and Principe,Square kilometers,Total,Total,Built-up since 1990,2014,0.0855
Sao Tome and Principe,Square kilometers,Total,Total,Built-up since 1975,1990,0.0
Sao Tome and Principe,Percent of total land area,Total,Total,Area built-up before,1975,0.113951834
Sao Tome and Principe,Percent of total land area,Total,Total,Area built-up before,1990,0.113951834
Sao Tome and Principe,Percent of total land area,Total,Total,Area built-up before,2000,0.113951834
Sao Tome and Principe,Percent of total land area,Total,Total,Area built-up before,2014,0.150278761
Sao Tome and Principe,Percent of total land area,Total,Total,Built-up since 1990,2000,0.0
Sao Tome and Principe,Percent of total land area,Total,Total,Built-up since 1990,2014,0.036326927
Sao Tome and Principe,Percent of total land area,Total,Total,Built-up since 2000,2014,0.036326927
Sao Tome and Principe,Percent of total land area,Total,Total,Built-up since 1975,1990,0.0
Senegal,Square kilometers,Total,Total,Area built-up before,1975,284.0454
Senegal,Square kilometers,Total,Total,Area built-up before,1990,366.417
Senegal,Square kilometers,Total,Total,Area built-up before,2000,479.1987
Senegal,Square kilometers,Total,Total,Area built-up before,2014,623.5164
Senegal,Square kilometers,Total,Total,Built-up since 1990,2000,112.7817
Senegal,Square kilometers,Total,Total,Built-up since 1990,2014,257.0994
Senegal,Square kilometers,Total,Total,Built-up since 2000,2014,144.3177
Senegal,Square kilometers,Total,Total,Built-up since 1975,1990,82.3716
Senegal,Percent of total land area,Total,Total,Area built-up before,1975,0.144698956
Senegal,Percent of total land area,Total,Total,Area built-up before,1990,0.186660856
Senegal,Percent of total land area,Total,Total,Area built-up before,2000,0.244114327
Senegal,Percent of total land area,Total,Total,Area built-up before,2014,0.317632929
Senegal,Percent of total land area,Total,Total,Built-up since 1990,2000,0.057453471
Senegal,Percent of total land area,Total,Total,Built-up since 1990,2014,0.130972073
Senegal,Percent of total land area,Total,Total,Built-up since 2000,2014,0.073518601
Senegal,Percent of total land area,Total,Total,Built-up since 1975,1990,0.0419619
Seychelles,Square kilometers,Total,Total,Area built-up before,1975,1.3293
Seychelles,Square kilometers,Total,Total,Area built-up before,1990,1.3293
Seychelles,Square kilometers,Total,Total,Area built-up before,2000,1.3293
Seychelles,Square kilometers,Total,Total,Area built-up before,2014,3.3642
Seychelles,Square kilometers,Total,Total,Built-up since 1990,2000,0.0
Seychelles,Square kilometers,Total,Total,Built-up since 1990,2014,2.0349
Seychelles,Square kilometers,Total,Total,Built-up since 2000,2014,2.0349
Seychelles,Square kilometers,Total,Total,Built-up since 1975,1990,0.0
Seychelles,Percent of total land area,Total,Total,Area built-up before,1975,0.292163414
Seychelles,Percent of total land area,Total,Total,Area built-up before,1990,0.292163414
Seychelles,Percent of total land area,Total,Total,Area built-up before,2000,0.292163414
Seychelles,Percent of total land area,Total,Total,Area built-up before,2014,0.739408829
Seychelles,Percent of total land area,Total,Total,Built-up since 1990,2000,0.0
Seychelles,Percent of total land area,Total,Total,Built-up since 1990,2014,0.447245415
Seychelles,Percent of total land area,Total,Total,Built-up since 2000,2014,0.447245415
Seychelles,Percent of total land area,Total,Total,Built-up since 1975,1990,0.0
Sierra Leone,Square kilometers,Total,Total,Area built-up before,1975,107.2224
Sierra Leone,Square kilometers,Total,Total,Area built-up before,1990,131.598
Sierra Leone,Square kilometers,Total,Total,Area built-up before,2000,178.1415
Sierra Leone,Square kilometers,Total,Total,Area built-up before,2014,240.5817
Sierra Leone,Square kilometers,Total,Total,Built-up since 1990,2000,46.5435
Sierra Leone,Square kilometers,Total,Total,Built-up since 1990,2014,108.9837
Sierra Leone,Square kilometers,Total,Total,Built-up since 2000,2014,62.4402
Sierra Leone,Square kilometers,Total,Total,Built-up since 1975,1990,24.3756
Sierra Leone,Percent of total land area,Total,Total,Area built-up before,1975,0.147576471
Sierra Leone,Percent of total land area,Total,Total,Area built-up before,1990,0.181126038
Sierra Leone,Percent of total land area,Total,Total,Area built-up before,2000,0.245186584
Sierra Leone,Percent of total land area,Total,Total,Area built-up before,2014,0.331126689
Sierra Leone,Percent of total land area,Total,Total,Built-up since 1990,2000,0.064060546
Sierra Leone,Percent of total land area,Total,Total,Built-up since 1990,2014,0.150000652
Sierra Leone,Percent of total land area,Total,Total,Built-up since 1975,1990,0.033549566
Somalia,Square kilometers,Total,Total,Area built-up before,1975,465.9633
Somalia,Square kilometers,Total,Total,Area built-up before,1990,522.9603
Somalia,Square kilometers,Total,Total,Area built-up before,2000,561.3696
Somalia,Square kilometers,Total,Total,Area built-up before,2014,582.0498
Somalia,Square kilometers,Total,Total,Built-up since 1990,2000,38.4093
Somalia,Square kilometers,Total,Total,Built-up since 1990,2014,59.0895
Somalia,Square kilometers,Total,Total,Built-up since 1975,1990,56.997
Somalia,Percent of total land area,Total,Total,Area built-up before,1975,0.073187918
Somalia,Percent of total land area,Total,Total,Area built-up before,1990,0.082140322
Somalia,Percent of total land area,Total,Total,Area built-up before,2000,0.088173193
Somalia,Percent of total land area,Total,Total,Area built-up before,2014,0.091421391
Somalia,Percent of total land area,Total,Total,Built-up since 1990,2000,0.006032871
Somalia,Percent of total land area,Total,Total,Built-up since 1990,2014,0.009281069
Somalia,Percent of total land area,Total,Total,Built-up since 1975,1990,0.008952404
South Africa,Square kilometers,Total,Total,Area built-up before,1975,3062.5848
South Africa,Square kilometers,Total,Total,Area built-up before,1990,4569.3936
South Africa,Square kilometers,Total,Total,Area built-up before,2000,5915.0655
South Africa,Square kilometers,Total,Total,Area built-up before,2014,6709.3425
South Africa,Square kilometers,Total,Total,Built-up since 1990,2000,1345.6719
South Africa,Square kilometers,Total,Total,Built-up since 1990,2014,2139.9489
South Africa,Percent of total land area,Total,Total,Area built-up before,1975,0.250686757
South Africa,Percent of total land area,Total,Total,Area built-up before,1990,0.374026039
South Africa,Percent of total land area,Total,Total,Area built-up before,2000,0.484175519
South Africa,Percent of total land area,Total,Total,Area built-up before,2014,0.549190772
South Africa,Percent of total land area,Total,Total,Built-up since 2000,2014,0.065015253
Sudan,Square kilometers,Total,Total,Area built-up before,1975,254.025
Sudan,Square kilometers,Total,Total,Area built-up before,1990,422.0478
Sudan,Square kilometers,Total,Total,Area built-up before,2000,600.0651
Sudan,Square kilometers,Total,Total,Area built-up before,2014,782.2881
Sudan,Square kilometers,Total,Total,Built-up since 1990,2000,178.0173
Sudan,Square kilometers,Total,Total,Built-up since 1990,2014,360.2403
Sudan,Square kilometers,Total,Total,Built-up since 2000,2014,182.223
Sudan,Percent of total land area,Total,Total,Area built-up before,1975,0.01371776
Sudan,Percent of total land area,Total,Total,Area built-up before,1990,0.022791262
Sudan,Percent of total land area,Total,Total,Area built-up before,2000,0.032404483
Sudan,Percent of total land area,Total,Total,Area built-up before,2014,0.042244819
Sudan,Percent of total land area,Total,Total,Built-up since 1990,2000,0.009613221
Sudan,Percent of total land area,Total,Total,Built-up since 1990,2014,0.019453557
Sudan,Percent of total land area,Total,Total,Built-up since 1975,1990,0.009073502
Eswatini,Square kilometers,Total,Total,Area built-up before,1975,9.0045
Eswatini,Square kilometers,Total,Total,Area built-up before,1990,20.9655
Eswatini,Square kilometers,Total,Total,Area built-up before,2000,35.0064
Eswatini,Square kilometers,Total,Total,Area built-up before,2014,46.4679
Eswatini,Square kilometers,Total,Total,Built-up since 2000,2014,11.4615
Eswatini,Square kilometers,Total,Total,Built-up since 1975,1990,11.961
Eswatini,Percent of total land area,Total,Total,Built-up since 1990,2000,0.080988049
Eswatini,Percent of total land area,Total,Total,Built-up since 1990,2014,0.147098093
Eswatini,Percent of total land area,Total,Total,Built-up since 2000,2014,0.066110044
Eswatini,Percent of total land area,Total,Total,Built-up since 1975,1990,0.068991165
Tanzania,Square kilometers,Total,Total,Area built-up before,1975,434.1879
Tanzania,Square kilometers,Total,Total,Area built-up before,1990,529.6815
Tanzania,Square kilometers,Total,Total,Area built-up before,2000,747.0414
Tanzania,Square kilometers,Total,Total,Area built-up before,2014,860.2074
Tanzania,Square kilometers,Total,Total,Built-up since 1990,2000,217.3599
Tanzania,Square kilometers,Total,Total,Built-up since 1990,2014,330.5259
Tanzania,Square kilometers,Total,Total,Built-up since 1975,1990,95.4936
Tanzania,Percent of total land area,Total,Total,Area built-up before,1975,0.048783218
Tanzania,Percent of total land area,Total,Total,Area built-up before,1990,0.05951241
Tanzania,Percent of total land area,Total,Total,Area built-up before,2000,0.0839339
Tanzania,Percent of total land area,Total,Total,Area built-up before,2014,0.096648676
Tanzania,Percent of total land area,Total,Total,Built-up since 1990,2000,0.02442149
Tanzania,Percent of total land area,Total,Total,Built-up since 1990,2014,0.037136266
Tanzania,Percent of total land area,Total,Total,Built-up since 2000,2014,0.012714776
Tanzania,Percent of total land area,Total,Total,Built-up since 1975,1990,0.010729192
Togo,Square kilometers,Total,Total,Area built-up before,1975,138.3741
Togo,Square kilometers,Total,Total,Area built-up before,1990,176.9301
Togo,Square kilometers,Total,Total,Area built-up before,2000,232.4124
Togo,Square kilometers,Total,Total,Area built-up before,2014,255.0204
Togo,Square kilometers,Total,Total,Built-up since 1990,2000,55.4823
Togo,Square kilometers,Total,Total,Built-up since 1990,2014,78.0903
Togo,Square kilometers,Total,Total,Built-up since 2000,2014,22.608
Togo,Percent of total land area,Total,Total,Area built-up before,1975,0.242431446
Togo,Percent of total land area,Total,Total,Area built-up before,1990,0.309981564
Togo,Percent of total land area,Total,Total,Area built-up before,2000,0.407186563
Togo,Percent of total land area,Total,Total,Area built-up before,2014,0.446795783
Togo,Percent of total land area,Total,Total,Built-up since 1990,2000,0.097204999
Togo,Percent of total land area,Total,Total,Built-up since 1990,2014,0.136814218
Togo,Percent of total land area,Total,Total,Built-up since 2000,2014,0.03960922
Tunisia,Square kilometers,Total,Total,Area built-up before,1975,621.9333
Tunisia,Square kilometers,Total,Total,Area built-up before,1990,874.8261
Tunisia,Square kilometers,Total,Total,Area built-up before,2000,1043.6841
Tunisia,Square kilometers,Total,Total,Area built-up before,2014,1159.2189
Tunisia,Square kilometers,Total,Total,Built-up since 1990,2000,168.858
Tunisia,Square kilometers,Total,Total,Built-up since 1990,2014,284.3928
Tunisia,Square kilometers,Total,Total,Built-up since 2000,2014,115.5348
Tunisia,Percent of total land area,Total,Total,Area built-up before,1975,0.400322136
Tunisia,Percent of total land area,Total,Total,Area built-up before,1990,0.563102592
Tunisia,Percent of total land area,Total,Total,Area built-up before,2000,0.671792053
Tunisia,Percent of total land area,Total,Total,Area built-up before,2014,0.74615877
Tunisia,Percent of total land area,Total,Total,Built-up since 1990,2000,0.108689461
Tunisia,Percent of total land area,Total,Total,Built-up since 1990,2014,0.183056178
Tunisia,Percent of total land area,Total,Total,Built-up since 2000,2014,0.074366717
Tunisia,Percent of total land area,Total,Total,Built-up since 1975,1990,0.162780456
Uganda,Square kilometers,Total,Total,Area built-up before,1975,155.0799
Uganda,Square kilometers,Total,Total,Area built-up before,1990,215.0298
Uganda,Square kilometers,Total,Total,Area built-up before,2000,347.5584
Uganda,Square kilometers,Total,Total,Area built-up before,2014,433.8531
Uganda,Square kilometers,Total,Total,Built-up since 1990,2000,132.5286
Uganda,Square kilometers,Total,Total,Built-up since 1990,2014,218.8233
Uganda,Square kilometers,Total,Total,Built-up since 2000,2014,86.2947
Uganda,Percent of total land area,Total,Total,Area built-up before,1975,0.075010652
Uganda,Percent of total land area,Total,Total,Area built-up before,1990,0.104007841
Uganda,Percent of total land area,Total,Total,Area built-up before,2000,0.168110646
Uganda,Percent of total land area,Total,Total,Area built-up before,2014,0.209850561
Uganda,Percent of total land area,Total,Total,Built-up since 1990,2000,0.064102806
Uganda,Percent of total land area,Total,Total,Built-up since 1990,2014,0.10584272
Uganda,Percent of total land area,Total,Total,Built-up since 2000,2014,0.041739914
Uganda,Percent of total land area,Total,Total,Built-up since 1975,1990,0.028997188
Zambia,Square kilometers,Total,Total,Area built-up before,1975,313.5339
Zambia,Square kilometers,Total,Total,Area built-up before,1990,370.4499
Zambia,Square kilometers,Total,Total,Area built-up before,2000,460.206
Zambia,Square kilometers,Total,Total,Area built-up before,2014,546.4485
Zambia,Square kilometers,Total,Total,Built-up since 1990,2000,89.7561
Zambia,Square kilometers,Total,Total,Built-up since 1990,2014,175.9986
Zambia,Square kilometers,Total,Total,Built-up since 2000,2014,86.2425
Zambia,Percent of total land area,Total,Total,Area built-up before,1975,0.042157468
Zambia,Percent of total land area,Total,Total,Area built-up before,1990,0.049810339
Zambia,Percent of total land area,Total,Total,Area built-up before,2000,0.061878858
Zambia,Percent of total land area,Total,Total,Area built-up before,2014,0.073474942
Zambia,Percent of total land area,Total,Total,Built-up since 1990,2000,0.012068519
Zambia,Percent of total land area,Total,Total,Built-up since 1990,2014,0.023664603
Zambia,Percent of total land area,Total,Total,Built-up since 1975,1990,0.007652871
Zimbabwe,Square kilometers,Total,Total,Area built-up before,1975,156.0033
Zimbabwe,Square kilometers,Total,Total,Area built-up before,1990,279.7317
Zimbabwe,Square kilometers,Total,Total,Area built-up before,2000,416.6379
Zimbabwe,Square kilometers,Total,Total,Area built-up before,2014,474.9174
Zimbabwe,Square kilometers,Total,Total,Built-up since 1990,2000,136.9062
Zimbabwe,Square kilometers,Total,Total,Built-up since 1990,2014,195.1857
Zimbabwe,Square kilometers,Total,Total,Built-up since 2000,2014,58.2795
Zimbabwe,Square kilometers,Total,Total,Built-up since 1975,1990,123.7284
Zimbabwe,Percent of total land area,Total,Total,Area built-up before,1975,0.04003108
Zimbabwe,Percent of total land area,Total,Total,Area built-up before,1990,0.071780289
Zimbabwe,Percent of total land area,Total,Total,Area built-up before,2000,0.106910976
Zimbabwe,Percent of total land area,Total,Total,Area built-up before,2014,0.121865732
Zimbabwe,Percent of total land area,Total,Total,Built-up since 1990,2000,0.035130686
Zimbabwe,Percent of total land area,Total,Total,Built-up since 1990,2014,0.050085443
Zimbabwe,Percent of total land area,Total,Total,Built-up since 1975,1990,0.031749209
South Sudan ,Square kilometers,Total,Total,Area built-up before,1975,44.478
South Sudan ,Square kilometers,Total,Total,Area built-up before,1990,55.0998
South Sudan ,Square kilometers,Total,Total,Area built-up before,2000,75.6054
South Sudan ,Square kilometers,Total,Total,Area built-up before,2014,99.4365
South Sudan ,Square kilometers,Total,Total,Built-up since 2000,2014,23.8311
South Sudan ,Square kilometers,Total,Total,Built-up since 1975,1990,10.6218
South Sudan ,Percent of total land area,Total,Total,Area built-up before,1975,0.007021712
South Sudan ,Percent of total land area,Total,Total,Area built-up before,1990,0.008698568
South Sudan ,Percent of total land area,Total,Total,Area built-up before,2000,0.011935773
South Sudan ,Percent of total land area,Total,Total,Area built-up before,2014,0.015697973
South Sudan ,Percent of total land area,Total,Total,Built-up since 1990,2000,0.003237205
South Sudan ,Percent of total land area,Total,Total,Built-up since 1990,2014,0.006999405
South Sudan ,Percent of total land area,Total,Total,Built-up since 1975,1990,0.001676856
Algeria,Square kilometers,Total,Total,Built-up since 1975,1990,814.3011
Algeria,Percent of total land area,Total,Total,Built-up since 1975,1990,0.03514128
Angola,Square kilometers,Total,Total,Built-up since 2000,2014,246.825
Benin,Square kilometers,Total,Total,Built-up since 2000,2014,78.4314
Burkina Faso,Square kilometers,Total,Total,Built-up since 2000,2014,64.4139
Burkina Faso,Square kilometers,Total,Total,Built-up since 1975,1990,32.0931
Burundi,Percent of total land area,Total,Total,Built-up since 1975,1990,0.043827932
