Country name,Year,Aggregation level,Sub-national region name,Number of individual cases in dataset for region,Number of households in dataset for region,% population in urban areas
Ethiopia,2005.0,Subnat,Addis,2375.0,525.0,98.38
Ethiopia,2005.0,Subnat,Dire Dawa,292.0,64.0,62.29
Ethiopia,2005.0,Wealth quartiles,Lowest 25%,17255.0,3428.0,0.33
Ethiopia,2005.0,Wealth quartiles,Second 25%,17171.0,3433.0,0.31
Ethiopia,2005.0,Wealth quartiles,Third 25%,18496.0,3429.0,1.86
Ethiopia,2005.0,Wealth quartiles,Highest 25%,17068.0,3431.0,47.08
Ethiopia,2011.0,National,Total,79814.0,16702.0,18.1
Ethiopia,2011.0,Urb/rur,Rural,65368.0,12922.0,0.0
Ethiopia,2011.0,Urb/rur,Urban,14446.0,3780.0,100.0
Ethiopia,2011.0,Poverty,Nonpoor,5902.0,1405.0,93.37
Ethiopia,2011.0,Poverty,Poor,73900.0,15294.0,12.09
Ethiopia,2011.0,Subnat,Tigray,5241.0,1134.0,20.02
Ethiopia,2011.0,Subnat,Affar,677.0,143.0,22.57
Ethiopia,2011.0,Subnat,Amhara,20374.0,4452.0,17.6
Ethiopia,2011.0,Subnat,Oromiya,30644.0,6221.0,11.44
Ethiopia,2011.0,Subnat,Somali,1855.0,343.0,36.62
Ethiopia,2011.0,Subnat,Ben-Gumz,837.0,181.0,17.63
Ethiopia,2011.0,Subnat,SNNP,16408.0,3256.0,11.99
Ethiopia,2011.0,Subnat,Gambela,292.0,66.0,28.98
Ethiopia,2011.0,Subnat,Harari,218.0,53.0,51.79
Ethiopia,2011.0,Subnat,Addis,2970.0,781.0,100.0
Ethiopia,2011.0,Subnat,Dire Dawa,298.0,73.0,63.23
Ethiopia,2011.0,Wealth quartiles,Lowest 25%,20532.0,4176.0,1.62
Ethiopia,2011.0,Wealth quartiles,Second 25%,21079.0,4175.0,1.1
Ethiopia,2011.0,Wealth quartiles,Third 25%,21811.0,4177.0,4.97
Ethiopia,2011.0,Wealth quartiles,Highest 25%,16392.0,4174.0,78.08
Ethiopia,2016.0,National,Total,78151.0,16650.0,15.6
Ethiopia,2016.0,Urb/rur,Rural,65959.0,13266.0,0.0
Ethiopia,2016.0,Urb/rur,Urban,12192.0,3384.0,100.0
Ethiopia,2016.0,Poverty,Nonpoor,7677.0,1957.0,94.3
Ethiopia,2016.0,Poverty,Poor,70474.0,14693.0,7.03
Ethiopia,2016.0,Subnat,Tigray,5191.0,1186.0,18.93
Ethiopia,2016.0,Subnat,Affar,636.0,140.0,22.08
Ethiopia,2016.0,Subnat,Amhara,17754.0,4239.0,15.0
Ethiopia,2016.0,Subnat,Oromiya,30541.0,6062.0,9.9
Ethiopia,2016.0,Subnat,Somali,2670.0,511.0,17.69
Ethiopia,2016.0,Subnat,Ben-Gumz,796.0,182.0,11.84
Ethiopia,2016.0,Subnat,SNNP,16970.0,3388.0,9.4
Ethiopia,2016.0,Subnat,Gambela,205.0,50.0,38.73
Ethiopia,2016.0,Subnat,Harari,182.0,46.0,48.36
Ethiopia,2016.0,Subnat,Addis,2810.0,751.0,100.0
Ethiopia,2016.0,Subnat,Dire Dawa,396.0,95.0,61.71
Ethiopia,2016.0,Wealth quartiles,Lowest 25%,20182.0,4163.0,2.58
Ethiopia,2016.0,Wealth quartiles,Second 25%,20425.0,4162.0,1.47
Ethiopia,2016.0,Wealth quartiles,Third 25%,21177.0,4161.0,2.1
Ethiopia,2016.0,Wealth quartiles,Highest 25%,16367.0,4163.0,66.77
Gabon,2000.0,National,Total,32392.0,6187.0,73.7
Gabon,2000.0,Urb/rur,Rural,8517.0,1696.0,0.0
Gabon,2000.0,Urb/rur,Urban,23874.0,4490.0,100.0
Gabon,2000.0,Poverty,Nonpoor,15630.0,2525.0,95.26
Gabon,2000.0,Poverty,Poor,16733.0,3654.0,53.62
Gabon,2000.0,Subnat,Estuaire,1720.0,326.0,24.25
Gabon,2000.0,Subnat,Haut Ogooue,3477.0,643.0,71.61
Gabon,2000.0,Subnat,Moyen Ogooue,1511.0,262.0,51.5
Gabon,2000.0,Subnat,Ngounie,2159.0,424.0,46.82
Gabon,2000.0,Subnat,Nyanga,1212.0,226.0,62.14
Gabon,2000.0,Subnat,Ogooue Ivindo,1635.0,271.0,41.12
Gabon,2000.0,Subnat,Ogooue Lolo,1254.0,299.0,35.79
Gabon,2000.0,Subnat,Ogooue Maritime,505.0,86.0,22.73
Gabon,2000.0,Subnat,Woleu Ntem,2629.0,524.0,34.22
Gabon,2000.0,Subnat,Libreville-Port Gentil,16289.0,3124.0,100.0
Gabon,2000.0,Wealth quartiles,Lowest 25%,7775.0,1547.0,22.76
Gabon,2000.0,Wealth quartiles,Second 25%,7375.0,1547.0,76.63
Gabon,2000.0,Wealth quartiles,Third 25%,7799.0,1547.0,93.94
Gabon,2000.0,Wealth quartiles,Highest 25%,9443.0,1546.0,96.66
Gabon,2012.0,National,Total,41674.0,9903.0,84.18
Gabon,2012.0,Urb/rur,Rural,6591.0,1636.0,0.0
Gabon,2012.0,Urb/rur,Urban,35083.0,8267.0,100.0
Gabon,2012.0,Poverty,Nonpoor,33334.0,7651.0,93.61
Gabon,2012.0,Poverty,Poor,8328.0,2250.0,46.47
Gabon,2012.0,Subnat,Estuaire,4551.0,986.0,61.23
Gabon,2012.0,Subnat,Haut Ogooue,3843.0,799.0,83.13
Gabon,2012.0,Subnat,Moyen Ogooue,1355.0,345.0,60.3
Gabon,2012.0,Subnat,Ngounie,2595.0,540.0,63.99
Gabon,2012.0,Subnat,Nyanga,1125.0,249.0,79.03
Gabon,2012.0,Subnat,Ogooue Ivindo,1501.0,252.0,58.45
Gabon,2012.0,Subnat,Ogooue Lolo,1520.0,322.0,58.0
Gabon,2012.0,Subnat,Ogooue Maritime,493.0,133.0,68.44
Gabon,2012.0,Subnat,Woleu Ntem,2331.0,613.0,54.84
Gabon,2012.0,Subnat,Libreville-Port Gentil,22361.0,5664.0,100.0
Gabon,2012.0,Wealth quartiles,Lowest 25%,10318.0,2476.0,52.01
Gabon,2012.0,Wealth quartiles,Second 25%,10031.0,2476.0,91.49
Gabon,2012.0,Wealth quartiles,Third 25%,9584.0,2474.0,95.43
Gabon,2012.0,Wealth quartiles,Highest 25%,11741.0,2476.0,97.03
Ghana,1998.0,National,Total,22652.0,6212.0,31.73
Ghana,1998.0,Urb/rur,Rural,15465.0,4020.0,0.0
Ghana,1998.0,Urb/rur,Urban,7187.0,2192.0,100.0
Ghana,1998.0,Poverty,Nonpoor,3298.0,861.0,83.27
Ghana,1998.0,Poverty,Poor,19339.0,5347.0,22.96
Ghana,1998.0,Subnat,Western,2780.0,702.0,20.39
Ghana,1998.0,Subnat,Central,2493.0,677.0,28.47
Ghana,1998.0,Subnat,Greater Accra,3247.0,898.0,84.55
Ghana,1998.0,Subnat,Volta,2719.0,641.0,14.18
Ghana,1998.0,Subnat,Eastern,2905.0,886.0,27.77
Ghana,1998.0,Subnat,Ashanti,3393.0,1103.0,32.1
Ghana,1998.0,Subnat,Brong Ahafo,1845.0,577.0,24.21
Ghana,1998.0,Subnat,Northern,1307.0,316.0,20.98
Ghana,1998.0,Subnat,Upper West,661.0,131.0,9.14
Ghana,1998.0,Subnat,Upper East,1303.0,281.0,7.85
Ghana,1998.0,Wealth quartiles,Lowest 25%,6878.0,1592.0,1.93
Ghana,1998.0,Wealth quartiles,Second 25%,5441.0,1514.0,10.47
Ghana,1998.0,Wealth quartiles,Third 25%,4910.0,1557.0,45.79
Ghana,1998.0,Wealth quartiles,Highest 25%,5422.0,1550.0,78.11
Ghana,2003.0,National,Total,26602.0,6537.0,41.73
Ghana,2003.0,Urb/rur,Rural,15502.0,3536.0,0.0
Ghana,2003.0,Urb/rur,Urban,11100.0,3001.0,100.0
Ghana,2003.0,Poverty,Nonpoor,5103.0,1282.0,88.47
Ghana,2003.0,Poverty,Poor,21466.0,5247.0,30.6
Ghana,2003.0,Subnat,Western,2400.0,640.0,35.8
Ghana,2003.0,Subnat,Central,2176.0,614.0,31.51
Ghana,2003.0,Subnat,Greater Accra,3526.0,930.0,86.94
Ghana,2003.0,Subnat,Volta,2446.0,563.0,25.74
Ghana,2003.0,Subnat,Eastern,2859.0,765.0,34.72
Ghana,2003.0,Subnat,Ashanti,5115.0,1373.0,50.85
Ghana,2003.0,Subnat,Brong Ahafo,2725.0,696.0,38.84
Ghana,2003.0,Subnat,Northern,2834.0,509.0,24.87
Ghana,2003.0,Subnat,Upper West,802.0,153.0,19.0
Ghana,2003.0,Subnat,Upper East,1719.0,293.0,20.41
Ghana,2003.0,Wealth quartiles,Lowest 25%,8237.0,1666.0,3.56
Ghana,2003.0,Wealth quartiles,Second 25%,6541.0,1605.0,21.63
Ghana,2003.0,Wealth quartiles,Third 25%,5746.0,1633.0,67.7
Ghana,2003.0,Wealth quartiles,Highest 25%,6078.0,1632.0,90.52
Ghana,2006.0,National,Total,24947.0,5939.0,41.35
Ghana,2006.0,Urb/rur,Rural,14632.0,3247.0,0.0
Ghana,2006.0,Urb/rur,Urban,10315.0,2692.0,100.0
Ghana,2006.0,Poverty,Nonpoor,6517.0,1550.0,82.56
Ghana,2006.0,Poverty,Poor,18429.0,4389.0,26.78
Ghana,2006.0,Subnat,Western,2451.0,617.0,35.2
Ghana,2006.0,Subnat,Central,2024.0,576.0,37.61
Ghana,2006.0,Subnat,Greater Accra,3911.0,1004.0,87.29
Ghana,2006.0,Subnat,Volta,1978.0,486.0,27.92
Ghana,2006.0,Subnat,Eastern,3099.0,758.0,32.12
Ghana,2006.0,Subnat,Ashanti,3854.0,988.0,51.99
Ghana,2006.0,Subnat,Brong Ahafo,2295.0,552.0,38.81
Ghana,2006.0,Subnat,Northern,3549.0,630.0,16.66
Ghana,2006.0,Subnat,Upper West,652.0,126.0,14.22
Ghana,2006.0,Subnat,Upper East,1134.0,202.0,13.32
Ghana,2006.0,Wealth quartiles,Lowest 25%,7480.0,1484.0,3.93
Ghana,2006.0,Wealth quartiles,Second 25%,5882.0,1486.0,25.14
Ghana,2006.0,Wealth quartiles,Third 25%,5570.0,1485.0,59.57
Ghana,2006.0,Wealth quartiles,Highest 25%,6015.0,1484.0,86.86
Ghana,2008.0,National,Total,46534.0,12300.0,43.74
Ghana,2008.0,Urb/rur,Rural,26181.0,6423.0,0.0
Ghana,2008.0,Urb/rur,Urban,20353.0,5877.0,100.0
Ghana,2008.0,Poverty,Nonpoor,16735.0,4458.0,77.59
Ghana,2008.0,Poverty,Poor,29799.0,7842.0,24.73
Ghana,2008.0,Subnat,Western,4386.0,1236.0,43.34
Ghana,2008.0,Subnat,Central,4551.0,1335.0,32.42
Ghana,2008.0,Subnat,Greater Accra,6680.0,2038.0,88.15
Ghana,2008.0,Subnat,Volta,4231.0,1035.0,23.41
Ghana,2008.0,Subnat,Eastern,4686.0,1316.0,36.93
Ghana,2008.0,Subnat,Ashanti,8490.0,2364.0,52.0
Ghana,2008.0,Subnat,Brong Ahafo,4312.0,1205.0,42.57
Ghana,2008.0,Subnat,Northern,5200.0,969.0,28.94
Ghana,2008.0,Subnat,Upper West,1260.0,238.0,22.29
Ghana,2008.0,Subnat,Upper East,2737.0,564.0,12.11
Ghana,2008.0,Wealth quartiles,Lowest 25%,13955.0,3074.0,5.97
Ghana,2008.0,Wealth quartiles,Second 25%,11365.0,3076.0,27.95
Ghana,2008.0,Wealth quartiles,Third 25%,10381.0,3076.0,64.53
Ghana,2008.0,Wealth quartiles,Highest 25%,10833.0,3075.0,89.04
Ghana,2011.0,National,Total,54228.0,14030.0,48.31
Ghana,2011.0,Urb/rur,Rural,28032.0,6549.0,0.0
Ghana,2011.0,Urb/rur,Urban,26196.0,7481.0,100.0
Ghana,2011.0,Poverty,Nonpoor,22241.0,5879.0,76.56
Ghana,2011.0,Poverty,Poor,31987.0,8151.0,28.66
Ghana,2011.0,Subnat,Western,5080.0,1313.0,38.64
Ghana,2011.0,Subnat,Central,5362.0,1454.0,46.2
Ghana,2011.0,Subnat,Greater Accra,8970.0,2731.0,88.53
Ghana,2011.0,Subnat,Volta,4643.0,1167.0,31.7
Ghana,2011.0,Subnat,Eastern,6173.0,1803.0,46.09
Ghana,2011.0,Subnat,Ashanti,9879.0,2731.0,51.88
Ghana,2011.0,Subnat,Brong Ahafo,4981.0,1189.0,41.18
Ghana,2011.0,Subnat,Northern,5013.0,856.0,31.04
Ghana,2011.0,Subnat,Upper West,1641.0,297.0,20.16
Ghana,2011.0,Subnat,Upper East,2486.0,488.0,17.49
Ghana,2011.0,Wealth quartiles,Lowest 25%,17023.0,3509.0,9.01
Ghana,2011.0,Wealth quartiles,Second 25%,13317.0,3505.0,43.45
Ghana,2011.0,Wealth quartiles,Third 25%,12400.0,3508.0,68.97
Ghana,2011.0,Wealth quartiles,Highest 25%,11487.0,3507.0,89.87
Ghana,2014.0,National,Total,41888.0,11835.0,49.49
Ghana,2014.0,Urb/rur,Rural,21156.0,5332.0,0.0
Ghana,2014.0,Urb/rur,Urban,20732.0,6503.0,100.0
Ghana,2014.0,Poverty,Nonpoor,21783.0,6276.0,71.15
Ghana,2014.0,Poverty,Poor,20105.0,5559.0,26.04
Ghana,2014.0,Subnat,Western,4245.0,1298.0,38.97
Ghana,2014.0,Subnat,Central,4078.0,1180.0,37.74
Ghana,2014.0,Subnat,Greater Accra,7680.0,2457.0,87.31
Ghana,2014.0,Subnat,Volta,3471.0,1015.0,36.99
Ghana,2014.0,Subnat,Eastern,4067.0,1255.0,44.05
Ghana,2014.0,Subnat,Ashanti,7706.0,2216.0,58.71
Ghana,2014.0,Subnat,Brong Ahafo,3606.0,1028.0,45.67
Ghana,2014.0,Subnat,Northern,4110.0,742.0,25.12
Ghana,2014.0,Subnat,Upper West,1162.0,265.0,17.06
Ghana,2014.0,Subnat,Upper East,1763.0,378.0,20.23
Ghana,2014.0,Wealth quartiles,Lowest 25%,13523.0,2959.0,11.85
Ghana,2014.0,Wealth quartiles,Second 25%,9946.0,2958.0,34.85
Ghana,2014.0,Wealth quartiles,Third 25%,9258.0,2959.0,73.18
Ghana,2014.0,Wealth quartiles,Highest 25%,9161.0,2959.0,97.03
Ghana,2017.0,National,Total,60581.0,12886.0,46.1
Ghana,2017.0,Urb/rur,Rural,32655.0,6354.0,0.0
Ghana,2017.0,Urb/rur,Urban,27926.0,6532.0,100.0
Ghana,2017.0,Poverty,Nonpoor,31435.0,6639.0,61.97
Ghana,2017.0,Poverty,Poor,29146.0,6247.0,28.98
Ghana,2017.0,Subnat,Western,6010.0,1394.0,35.87
Ghana,2017.0,Subnat,Central,5863.0,1337.0,46.56
Ghana,2017.0,Subnat,Greater Accra,6606.0,1706.0,87.0
Ghana,2017.0,Subnat,Volta,4977.0,988.0,25.52
Ghana,2017.0,Subnat,Eastern,7289.0,1642.0,44.7
Ghana,2017.0,Subnat,Ashanti,14124.0,2892.0,53.95
Ghana,2017.0,Subnat,Brong Ahafo,5667.0,1188.0,46.31
Ghana,2017.0,Subnat,Northern,6489.0,1011.0,28.12
Ghana,2017.0,Subnat,Upper West,1528.0,293.0,19.89
Ghana,2017.0,Subnat,Upper East,2028.0,434.0,19.33
Ghana,2017.0,Wealth quartiles,Lowest 25%,17389.0,3222.0,14.04
Ghana,2017.0,Wealth quartiles,Second 25%,15842.0,3224.0,36.62
Ghana,2017.0,Wealth quartiles,Third 25%,14102.0,3220.0,63.98
Ghana,2017.0,Wealth quartiles,Highest 25%,13248.0,3221.0,80.47
Guinea,2005.0,National,Total,38853.0,6282.0,29.59
Guinea,2005.0,Urb/rur,Rural,27357.0,4494.0,0.0
Guinea,2005.0,Urb/rur,Urban,11496.0,1788.0,100.0
Guinea,2005.0,Poverty,Nonpoor,4129.0,569.0,95.35
Guinea,2005.0,Poverty,Poor,34522.0,5680.0,21.8
Guinea,2005.0,Subnat,Boke,4497.0,699.0,26.41
Guinea,2005.0,Subnat,Conakry,5578.0,901.0,100.0
Guinea,2005.0,Subnat,Faranah,3140.0,521.0,20.49
Guinea,2005.0,Subnat,Kankan,5001.0,748.0,13.2
Guinea,2005.0,Subnat,Kindia,5280.0,837.0,17.18
Guinea,2005.0,Subnat,Labe,4061.0,772.0,8.17
Guinea,2005.0,Subnat,Mamou,2741.0,537.0,12.1
Guinea,2005.0,Subnat,N Zerekore,8554.0,1267.0,21.7
Guinea,2005.0,Wealth quartiles,Lowest 25%,9342.0,1548.0,1.6
Guinea,2005.0,Wealth quartiles,Second 25%,9199.0,1582.0,3.94
Guinea,2005.0,Wealth quartiles,Third 25%,10302.0,1584.0,19.53
Guinea,2005.0,Wealth quartiles,Highest 25%,10009.0,1567.0,89.64
Guinea,2012.0,National,Total,45047.0,7111.0,32.59
Guinea,2012.0,Urb/rur,Rural,30368.0,4785.0,0.0
Guinea,2012.0,Urb/rur,Urban,14679.0,2326.0,100.0
Guinea,2012.0,Poverty,Nonpoor,12964.0,1921.0,88.19
Guinea,2012.0,Poverty,Poor,32083.0,5190.0,10.12
Guinea,2012.0,Subnat,Boke,4931.0,841.0,34.24
Guinea,2012.0,Subnat,Conakry,8147.0,1251.0,100.0
Guinea,2012.0,Subnat,Faranah,4137.0,565.0,19.43
Guinea,2012.0,Subnat,Kankan,6435.0,954.0,13.65
Guinea,2012.0,Subnat,Kindia,6588.0,1038.0,23.06
Guinea,2012.0,Subnat,Labe,3997.0,727.0,5.39
Guinea,2012.0,Subnat,Mamou,3148.0,591.0,8.97
Guinea,2012.0,Subnat,N Zerekore,7664.0,1144.0,14.93
Guinea,2012.0,Wealth quartiles,Lowest 25%,10400.0,1777.0,1.33
Guinea,2012.0,Wealth quartiles,Second 25%,11633.0,1778.0,3.37
Guinea,2012.0,Wealth quartiles,Third 25%,11591.0,1777.0,26.2
Guinea,2012.0,Wealth quartiles,Highest 25%,11424.0,1778.0,97.26
Guinea,2018.0,National,Total,49517.0,7912.0,34.75
Guinea,2018.0,Urb/rur,Rural,32309.0,5211.0,0.0
Guinea,2018.0,Urb/rur,Urban,17208.0,2701.0,100.0
Guinea,2018.0,Poverty,Nonpoor,15686.0,2366.0,84.51
Guinea,2018.0,Poverty,Poor,33831.0,5546.0,11.68
Guinea,2018.0,Subnat,Boke,5168.0,802.0,25.46
Guinea,2018.0,Subnat,Conakry,7678.0,1265.0,100.0
Guinea,2018.0,Subnat,Faranah,4767.0,671.0,21.16
Guinea,2018.0,Subnat,Kankan,7018.0,1090.0,22.23
Guinea,2018.0,Subnat,Kindia,7302.0,1202.0,34.83
Guinea,2018.0,Subnat,Labe,4910.0,895.0,11.59
Guinea,2018.0,Subnat,Mamou,4194.0,741.0,12.85
Guinea,2018.0,Subnat,N Zerekore,8478.0,1245.0,23.51
Guinea,2018.0,Wealth quartiles,Lowest 25%,11606.0,1978.0,1.22
Guinea,2018.0,Wealth quartiles,Second 25%,12431.0,1979.0,4.53
Guinea,2018.0,Wealth quartiles,Third 25%,12568.0,1977.0,36.06
Guinea,2018.0,Wealth quartiles,Highest 25%,12912.0,1978.0,92.71
Gambia,2000.0,National,Total,28986.0,4536.0,41.17
Gambia,2000.0,Urb/rur,Rural,17053.0,2197.0,0.0
Gambia,2000.0,Urb/rur,Urban,11933.0,2339.0,100.0
Gambia,2000.0,Poverty,Nonpoor,7653.0,1265.0,81.55
Gambia,2000.0,Poverty,Poor,21167.0,3245.0,26.39
Gambia,2000.0,Subnat,Banjul,5265.0,1090.0,100.0
Gambia,2000.0,Subnat,Kanifing,3682.0,690.0,100.0
Gambia,2000.0,Subnat,Brikama,3321.0,500.0,18.19
Gambia,2000.0,Subnat,Mansakonko,3409.0,559.0,14.55
Gambia,2000.0,Subnat,Kerewan,3232.0,479.0,26.21
Gambia,2000.0,Subnat,Kuntaur,3687.0,459.0,8.52
Gambia,2000.0,Subnat,Janjabureh,3296.0,459.0,9.86
Gambia,2000.0,Subnat,Basse,3094.0,300.0,12.93
Gambia,2000.0,Wealth quartiles,Lowest 25%,8825.0,1119.0,4.93
Gambia,2000.0,Wealth quartiles,Second 25%,8097.0,1120.0,20.6
Gambia,2000.0,Wealth quartiles,Third 25%,6044.0,1120.0,70.48
Gambia,2000.0,Wealth quartiles,Highest 25%,5559.0,1119.0,96.91
Gambia,2006.0,National,Total,44877.0,6071.0,38.88
Gambia,2006.0,Urb/rur,Rural,27429.0,3141.0,0.0
Gambia,2006.0,Urb/rur,Urban,17448.0,2930.0,100.0
Gambia,2006.0,Poverty,Nonpoor,15467.0,2041.0,68.29
Gambia,2006.0,Poverty,Poor,29409.0,4029.0,23.41
Gambia,2006.0,Subnat,Banjul,1507.0,308.0,100.0
Gambia,2006.0,Subnat,Kanifing,11383.0,1877.0,100.0
Gambia,2006.0,Subnat,Brikama,11132.0,1652.0,13.56
Gambia,2006.0,Subnat,Mansakonko,2965.0,357.0,28.68
Gambia,2006.0,Subnat,Kerewan,5139.0,718.0,20.83
Gambia,2006.0,Subnat,Kuntaur,3028.0,306.0,7.18
Gambia,2006.0,Subnat,Janjabureh,3861.0,370.0,7.22
Gambia,2006.0,Subnat,Basse,5861.0,483.0,10.76
Gambia,2006.0,Wealth quartiles,Lowest 25%,12539.0,1518.0,5.3
Gambia,2006.0,Wealth quartiles,Second 25%,11556.0,1517.0,27.7
Gambia,2006.0,Wealth quartiles,Third 25%,11095.0,1517.0,47.53
Gambia,2006.0,Wealth quartiles,Highest 25%,9686.0,1518.0,85.79
Gambia,2013.0,National,Total,51740.0,6217.0,50.74
Gambia,2013.0,Urb/rur,Rural,25487.0,2546.0,0.0
Gambia,2013.0,Urb/rur,Urban,26253.0,3671.0,100.0
Gambia,2013.0,Poverty,Nonpoor,22828.0,2792.0,82.04
Gambia,2013.0,Poverty,Poor,28855.0,3424.0,26.08
Gambia,2013.0,Subnat,Banjul,1001.0,188.0,100.0
Gambia,2013.0,Subnat,Kanifing,10044.0,1520.0,100.0
Gambia,2013.0,Subnat,Brikama,17882.0,2160.0,68.93
Gambia,2013.0,Subnat,Mansakonko,2737.0,356.0,16.52
Gambia,2013.0,Subnat,Kerewan,6073.0,721.0,17.55
Gambia,2013.0,Subnat,Kuntaur,3201.0,296.0,4.8
Gambia,2013.0,Subnat,Janjabureh,4080.0,410.0,17.3
Gambia,2013.0,Subnat,Basse,6723.0,566.0,7.51
Gambia,2013.0,Wealth quartiles,Lowest 25%,11502.0,1554.0,9.25
Gambia,2013.0,Wealth quartiles,Second 25%,16619.0,1554.0,23.14
Gambia,2013.0,Wealth quartiles,Third 25%,11535.0,1555.0,81.4
Gambia,2013.0,Wealth quartiles,Highest 25%,12084.0,1553.0,98.93
Gambia,2018.0,National,Total,59219.0,7405.0,67.59
Gambia,2018.0,Urb/rur,Rural,19191.0,1878.0,0.0
Gambia,2018.0,Urb/rur,Urban,40029.0,5527.0,100.0
Gambia,2018.0,Poverty,Nonpoor,36723.0,4575.0,86.49
Gambia,2018.0,Poverty,Poor,22496.0,2830.0,36.74
Gambia,2018.0,Subnat,Banjul,761.0,152.0,100.0
Gambia,2018.0,Subnat,Kanifing,11802.0,1880.0,100.0
Gambia,2018.0,Subnat,Brikama,23452.0,3049.0,93.74
Gambia,2018.0,Subnat,Mansakonko,2489.0,319.0,22.2
Gambia,2018.0,Subnat,Kerewan,6412.0,688.0,22.12
Gambia,2018.0,Subnat,Kuntaur,2704.0,292.0,6.83
Gambia,2018.0,Subnat,Janjabureh,4125.0,446.0,16.5
Gambia,2018.0,Subnat,Basse,7473.0,578.0,35.4
Gambia,2018.0,Wealth quartiles,Lowest 25%,15830.0,1850.0,25.78
Gambia,2018.0,Wealth quartiles,Second 25%,16814.0,1851.0,61.15
Gambia,2018.0,Wealth quartiles,Third 25%,13492.0,1852.0,93.26
Gambia,2018.0,Wealth quartiles,Highest 25%,13083.0,1851.0,100.0
Gambia,2020.0,National,Total,54249.0,6549.0,69.27
Gambia,2020.0,Urb/rur,Rural,16672.0,1560.0,0.0
Gambia,2020.0,Urb/rur,Urban,37577.0,4989.0,100.0
Gambia,2020.0,Poverty,Nonpoor,36679.0,4421.0,84.62
Gambia,2020.0,Poverty,Poor,17570.0,2128.0,37.21
Gambia,2020.0,Subnat,Banjul,708.0,155.0,100.0
Gambia,2020.0,Subnat,Kanifing,10574.0,1655.0,100.0
Gambia,2020.0,Subnat,Brikama,23057.0,2790.0,93.81
Gambia,2020.0,Subnat,Mansakonko,2242.0,282.0,21.25
Gambia,2020.0,Subnat,Kerewan,5991.0,636.0,25.62
Gambia,2020.0,Subnat,Kuntaur,2689.0,254.0,6.79
Gambia,2020.0,Subnat,Janjabureh,3124.0,332.0,14.07
Gambia,2020.0,Subnat,Basse,5862.0,443.0,34.63
Gambia,2020.0,Wealth quartiles,Lowest 25%,14216.0,1637.0,21.58
Gambia,2020.0,Wealth quartiles,Second 25%,12347.0,1638.0,66.44
Gambia,2020.0,Wealth quartiles,Third 25%,13064.0,1638.0,89.76
Gambia,2020.0,Wealth quartiles,Highest 25%,14622.0,1637.0,99.71
Equatorial Guinea,2000.0,National,Total,21296.0,3793.0,43.68
Equatorial Guinea,2000.0,Urb/rur,Rural,11994.0,2112.0,0.0
Equatorial Guinea,2000.0,Urb/rur,Urban,9302.0,1681.0,100.0
Equatorial Guinea,2000.0,Poverty,Nonpoor,4195.0,827.0,85.7
Equatorial Guinea,2000.0,Poverty,Poor,17097.0,2965.0,33.38
Equatorial Guinea,2000.0,Subnat,"Annobon, Bioko",4522.0,1005.0,84.89
Equatorial Guinea,2000.0,Subnat,Centro Sur,2917.0,476.0,11.52
Equatorial Guinea,2000.0,Subnat,Kie Ntem,4209.0,668.0,13.11
Equatorial Guinea,2000.0,Subnat,Litoral,6750.0,1133.0,63.35
Equatorial Guinea,2000.0,Subnat,Wele Nzas,2897.0,512.0,10.32
Equatorial Guinea,2000.0,Wealth quartiles,Lowest 25%,5099.0,993.0,10.09
Equatorial Guinea,2000.0,Wealth quartiles,Second 25%,4787.0,843.0,19.28
Equatorial Guinea,2000.0,Wealth quartiles,Third 25%,6527.0,1013.0,61.58
Equatorial Guinea,2000.0,Wealth quartiles,Highest 25%,4880.0,942.0,78.78
Kenya,1993.0,National,Total,38865.0,7921.0,13.64
Kenya,1993.0,Urb/rur,Rural,33562.0,6400.0,0.0
Kenya,1993.0,Urb/rur,Urban,5303.0,1521.0,100.0
Kenya,1993.0,Poverty,Nonpoor,3674.0,864.0,77.83
Kenya,1993.0,Poverty,Poor,34434.0,6869.0,6.64
Kenya,1993.0,Subnat,Nairobi,1910.0,642.0,100.0
Kenya,1993.0,Subnat,Central,5465.0,1277.0,6.52
Kenya,1993.0,Subnat,Coast,3684.0,676.0,23.84
Kenya,1993.0,Subnat,Eastern,7554.0,1344.0,4.88
Kenya,1993.0,Subnat,Nyanza,5899.0,1240.0,5.74
Kenya,1993.0,Subnat,Rift Valley,8688.0,1739.0,11.78
Kenya,1993.0,Subnat,Western,5665.0,1003.0,7.55
Kenya,1993.0,Wealth quartiles,Lowest 25%,10303.0,1981.0,0.19
Kenya,1993.0,Wealth quartiles,Second 25%,10766.0,1985.0,3.23
Kenya,1993.0,Wealth quartiles,Third 25%,9733.0,1976.0,9.67
Kenya,1993.0,Wealth quartiles,Highest 25%,8063.0,1980.0,49.54
Kenya,1998.0,National,Total,37706.0,8598.0,18.65
Kenya,1998.0,Urb/rur,Rural,30672.0,6558.0,0.0
Kenya,1998.0,Urb/rur,Urban,7034.0,2039.0,100.0
Kenya,1998.0,Poverty,Nonpoor,3655.0,917.0,81.94
Kenya,1998.0,Poverty,Poor,33917.0,7653.0,11.85
Kenya,1998.0,Subnat,Nairobi,2841.0,878.0,100.0
Kenya,1998.0,Subnat,Central,4407.0,1219.0,6.95
Kenya,1998.0,Subnat,Coast,2786.0,620.0,36.89
Kenya,1998.0,Subnat,Eastern,6494.0,1337.0,8.43
