Variable,Category,Dtype,Decimals,RankOrder,Label,Shortdescr,Longdescr
nobesity,System,Flt,,,,Number of Cases Aggregation Percentage of obese children,Percentage of children aged 0-59 months who are above three standard deviations from median weight-for-height of the WHO Child Growth Standards
nbmiz,System,Flt,,,,Number of Cases Aggregation BMI-for-age z-score,Number of SD below or above the median BMI-for-age of the WHO Growth Standard
nbcgage1,System,Flt,,,,Number of Cases Aggregation % children aged 1 with BCG,Percentage of children aged 1 who received a BCG vaccination
ndtp1age1,System,Flt,,,,Number of Cases Aggregation % children aged 1 with DTP1,Percentage of children aged 1 who received a DTP1 vaccination
ndtp2age1,System,Flt,,,,Number of Cases Aggregation % children aged 1 with DTP2,Percentage of children aged 1 who received a DTP2 vaccination
ndtp3age1,System,Flt,,,,Number of Cases Aggregation % children aged 1 with DTP3,Percentage of children aged 1 who received a DTP3 vaccination
nmeaslage1,System,Flt,,,,Number of Cases Aggregation % children aged 1 with measles,Percentage of children aged 1 who received a measles vaccination
nage09,System,Flt,,,,Number of Cases Aggregation % population aged 0-9,Percentage of national population aged 0-9 in region
nage1019,System,Flt,,,,Number of Cases Aggregation % population aged 10-19,Percentage of national population aged 10-19 in region
nage2029,System,Flt,,,,Number of Cases Aggregation % population aged 20-29,Percentage of national population aged 20-29 in region
nage3039,System,Flt,,,,Number of Cases Aggregation % population aged 30-39,Percentage of national population aged 30-39 in region
nage4049,System,Flt,,,,Number of Cases Aggregation % population aged 40-49,Percentage of national population aged 40-49 in region
nage5059,System,Flt,,,,Number of Cases Aggregation % population aged 50-59,Percentage of national population aged 50-59 in region
nage6069,System,Flt,,,,Number of Cases Aggregation % population aged 60-69,Percentage of national population aged 60-69 in region
nage7079,System,Flt,,,,Number of Cases Aggregation % population aged 70-79,Percentage of national population aged 70-79 in region
nage8089,System,Flt,,,,Number of Cases Aggregation % population aged 80-89,Percentage of national population aged 80-89 in region
nage90hi,System,Flt,,,,Number of Cases Aggregation % population aged 90+,Percentage of national population aged 90+ in region
nhhsize,System,Flt,,,,Number of Cases Aggregation Average household size,Average household size in region
ndepratio,System,Flt,,,,Number of Cases Aggregation Dependency ratio,"Dependency ratio, dependend population compared to the working age population (15-64)"
nyouthdepr,System,Flt,,,,Number of Cases Aggregation Youth dependency ratio,"Youth dependency ratio, the young (<15) compared to the working age population (15-64)"
nolddepr,System,Flt,,,,Number of Cases Aggregation Old age dependency ratio,"Old age dependency ratio, the old (>64) compared to the working age populations (15-64)"
ndwindowphase,System,Flt,,,,Number of Cases Aggregation Phase of demographic window,Phase of demographic window in region
npopyoung,System,Flt,,,,Number of Cases Aggregation % population aged under 15,Percentage of population in region under age 15
npopworkage,System,Flt,,,,Number of Cases Aggregation % population aged 15-65,Percentage of population in region aged 15 to 65
npopold,System,Flt,,,,Number of Cases Aggregation % population aged over 65,Percentage of population in region over 65
npipedwater,System,Flt,,,,Number of Cases Aggregation % household with piped water,Percentage of household with piped water in region
nelectr,System,Flt,,,,Number of Cases Aggregation % households with electricity,Percentage of households with electricity in region
nflushtoilet,System,Flt,,,,Number of Cases Aggregation % households with flush toilet,Percentage of households with flush toilet in region
nsmallhouse,System,Flt,,,,Number of Cases Aggregation % households with none or one sleeping room,Percentage of households with none or one sleeping room in region
nmodsizehouse,System,Flt,,,,Number of Cases Aggregation % households with two sleeping rooms,Percentage of households with two sleeping rooms in region
nlargehouse,System,Flt,,,,Number of Cases Aggregation % households with three or more sleeping rooms,Percentage of households with three or more sleeping rooms in region
nnaturalfloor,System,Flt,,,,"Number of Cases Aggregation % households with high a natural floor (earth, sand, dung etc)","Percentage of households with high a natural floor (earth, sand, dung etc) in region"
ncookwood,System,Flt,,,,"Number of Cases Aggregation % households cooking on wood, straw, grass, dung etc","Percentage of households cooking on wood, straw, grass, dung etc"
